,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
['Cuban Mojito'],2 teaspoons white sugar,"1 lime, cut into 4 wedges",4 sprigs fresh mint,1/2 cup white rum,2 cups club soda,2 cups crushed ice,"2 wedges lime, as garnish",,,,,,,,
['Mai Tai'],1 (1.5 fluid ounce) jigger spiced rum,1/2 (1.5 fluid ounce) jigger coconut-flavored rum,1 teaspoon grenadine syrup,3 fluid ounces pineapple juice,2 fluid ounces orange juice,1 cup ice cubes,,,,,,,,,
['Mojito Perfecto'],6 mint leaves,4 teaspoons white sugar,"1 lime, cut into 6 wedges",2 (1.5 fluid ounce) jiggers lemon-flavored rum,"1 cup ice cubes, or as needed","1/2 cup carbonated water, or as needed",,,,,,,,,
['Caribbean Rum Punch'],1 cup fresh lime juice,2 cups simple syrup,3 cups amber rum,4 cups orange juice,4 dashes bitters,freshly grated nutmeg,,,,,,,,,
['Pina Colada III'],1 cup coconut milk,1 cup pineapple juice,1/2 cup rum,4 tablespoons white sugar,8 cubes ice,,,,,,,,,,
"[""Dark 'n' Stormy Cocktail""]",2 fluid ounces dark rum,4 fluid ounces ginger beer,1/2 cup ice,,,,,,,,,,,,
['Absolute Stress'],1 fluid ounce vodka,1 fluid ounce dark rum,1 fluid ounce peach schnapps,1 fluid ounce orange juice,1 fluid ounce cranberry juice,,,,,,,,,,
"[""Shaggy's Hana Bay Frootie Joy""]",4 fluid ounces rum,1 cup fresh coconut-pineapple juice,4 cubes ice,,,,,,,,,,,,
['Amazingly Good Eggnog'],4 cups milk,5 whole cloves,1/2 teaspoon vanilla extract,1 teaspoon ground cinnamon,12 egg yolks,1 1/2 cups sugar,2 1/2 cups light rum,4 cups light cream,2 teaspoons vanilla extract,1/2 teaspoon ground nutmeg,,,,,
['Classic Spanish Sangria'],1 lemon,1 lime,1 orange,1 1/2 cups rum,1/2 cup white sugar,1 (750 milliliter) bottle dry red wine,1 cup orange juice,,,,,,,,
['The Real Mojito'],10 fresh mint leaves,"1/2 lime, cut into 4 wedges","2 tablespoons white sugar, or to taste",1 cup ice cubes,1 1/2 fluid ounces white rum,1/2 cup club soda,,,,,,,,,
