,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Diesel,Lager,1/2 pint ,Cider,1/2 pint ,Blackcurrant cordial,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Kiwi Papaya Smoothie,Kiwi,3 ,Papaya,1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Homemade Kahlua,Sugar,2 1/2 cups ,Corn syrup,1 cup ,Coffee,1 1/2 oz instant ,Vanilla extract,2 oz ,Water,3 cups boiling ,Vodka,1 fifth ,, ,, ,, ,, ,, ,,,,,,,,
Zimadori Zinger,Midori melon liqueur,1.5 oz ,Zima,12 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Brave Bull Shooter,Tequila,1/2 oz ,Tabasco sauce,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
Abilene,Dark rum,1 1/2 oz ,Peach nectar,2 oz ,Orange juice,3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Bobby Burns Cocktail,Sweet Vermouth,1 1/2 oz ,Scotch,1 1/2 oz ,Benedictine,1 1/4 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Rum Punch,Rum,mikey bottle ,Ginger ale,large bottle ,Fruit punch,355 ml frozen ,Orange juice,355 ml frozen ,Ice,crushed ,, ,, ,, ,, ,, ,,,,,,,,,,
Shot-gun,Jim Beam,1 part ,Jack Daniels,1 part ,Wild Turkey,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Boulevardier,Campari,1 oz,Sweet Vermouth,1 oz,Rye whiskey,1 1/4 oz,Orange Peel,1,,,,,,,,,,,,,,,,,,,,,,
Caipirissima,Lime,2 ,Sugar,2 tblsp ,White rum,2-3 oz ,Ice,crushed ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Boozy Snickers Milkshake,Vanilla Ice-Cream,3 cups ,Milk,1 cup ,Godiva liqueur,1/2 cup ,Whipped Cream,for topping,caramel sauce,"4 tablespoons
",chocolate sauce,"4 tablespoons
",Mini-snickers bars,"15
",,,,,,,,,,,,,,,,
Stone Sour,Apricot brandy,1 oz ,Orange juice,1 oz ,Sweet and sour,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Rum Old-fashioned,Light rum,1 1/2 oz ,151 proof rum,1 tsp ,Powdered sugar,1/2 tsp ,Bitters,1 dash ,Water,1 tsp ,Lime peel,Twist of ,, ,, ,, ,, ,, ,,,,,,,,
Bellini Martini,Ice,8 cubes ,Vodka,3 oz ,Peach nectar,1.5 oz ,Peach schnapps,1.5 oz ,Lemon peel,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
Apricot Lady,Light rum,1 1/2 oz ,Apricot brandy,1 oz ,Triple sec,1 tsp ,Lemon juice,1/2 oz ,Egg white,1 ,Orange,1 ,, ,, ,, ,, ,, ,,,,,,,,
Midnight Mint,Bailey's irish cream,1 oz ,White Creme de Menthe,3/4 oz ,Cream,3/4 oz double ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
Pink Penocha,Everclear,750 ml ,Vodka,1750 ml ,Peach schnapps,1750 ml ,Orange juice,1 gal ,Cranberry juice,1 gal ,, ,, ,, ,, ,, ,,,,,,,,,,
After Dinner Cocktail,Apricot brandy,1 oz ,Triple sec,1 oz ,Lime,Juice of 1 ,Lime,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
Whiskey Sour,Blended whiskey,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1/2 tsp ,Cherry,1 ,Lemon,1/2 slice ,, ,, ,, ,, ,, ,,,,,,,,,,
Applejack,Jack Daniels,1 oz ,Midori melon liqueur,1/2 oz ,Sour mix,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
