drink_name,ingredient,measurement,unit
Spiced Cherry Sprit,. amaro (such as Nonino),2.0,oz
Spiced Cherry Sprit,. Lambrusco,3.0,oz
Spiced Cherry Sprit,Cherry soda (for serving),N/A,N/A
Spiced Cherry Sprit,maraschino cherry,1.0,
Pimms Sprit,. Pimm’s No. 1,2.0,oz
Pimms Sprit,. Prosecco,3.0,oz
Pimms Sprit,Splash of Dr. Brown's Cel-Ray soda,N/A,N/A
Pimms Sprit,sprig celery leaves,1.0,
Aperol Sprit,pitted green olives,3.0,
Aperol Sprit,. Aperol,2.0,oz
Aperol Sprit,. Prosecco,3.0,oz
Aperol Sprit,Splash of club soda,N/A,N/A
Campari Sprit,. Campari,2.0,oz
Campari Sprit,. dry rosé,3.0,oz
Campari Sprit,Splash of lemon soda,N/A,N/A
Campari Sprit,lemon wheel,1.0,
Ginger Sprit,thin slice peeled ginger,1.0,
Ginger Sprit,. Lillet,2.0,oz
Ginger Sprit,. cava,3.0,oz
Ginger Sprit,Splash of ginger beer,N/A,N/A
White Negroni,gin (preferably Plymouth),5.5,ounces
White Negroni,Lillet Blanc,5.5,ounces
White Negroni,Suze liqueur,0.5,ounce
White Negroni,Lemon twist (for serving),N/A,N/A
Apple Cider and Rum Punch,aged rum,1.0,cup
Apple Cider and Rum Punch,sweet vermouth,1.0,cup
Apple Cider and Rum Punch,fresh lemon juice,0.5,cup
Apple Cider and Rum Punch,simple syrup,0.25,cup
Apple Cider and Rum Punch,Angostura bitters,4.0,dashes
Apple Cider and Rum Punch,"red apple, very thinly sliced, plus more for serving",0.5,
Apple Cider and Rum Punch,"(3x1"") strips orange zest, very thinly sliced, plus more for serving",3.0,
Apple Cider and Rum Punch,dry hard apple cider,12.0,-ounce
AperolKombucha Cocktail,"gin, tequila, or mezcal",2.0,cups
AperolKombucha Cocktail,Aperol,5.5,cups
AperolKombucha Cocktail,"chilled kombucha, preferably ginger or lemon flavored",16.0,-ounce
AperolKombucha Cocktail,chilled club soda,48.0,-ounce
AperolKombucha Cocktail,"tangerines or oranges, halved through stem ends, thinly sliced",2.0,
The Witching Hour,pear juice,2.0,ounces
The Witching Hour,dry gin,1.0,ounce
The Witching Hour,Chartreuse liqueur,0.5,ounce
The Witching Hour,fresh lemon juice,4.0,teaspoons
The Witching Hour,) activated charcoal powder,1.0,capsule (1/4 teaspoon
The Witching Hour,dried sage leaf,1.0,
The Witching Hour,A lighter,N/A,N/A
Thanksgiving Sangria,pomegranate juice,3.0,cups
Thanksgiving Sangria,"(3"") cinnamon sticks",5.0,
Thanksgiving Sangria,whole allspice,0.5,teaspoon
Thanksgiving Sangria,"), divided",4.0,""""
Thanksgiving Sangria,red wine,750.0,-ml
Thanksgiving Sangria,"Bartlett pear, quartered lengthwise, thinly sliced crosswise",1.0,
Thanksgiving Sangria,pomegranate seeds,0.5,cup
Thanksgiving Sangria,spiced rum,0.5,cup
Thanksgiving Sangria,pear or apple sparkling cider,750.0,-ml
Spiked Rose Lemonade,fresh or frozen red berries,5.5,cups
Spiked Rose Lemonade,sugar,0.75,cup
Spiked Rose Lemonade,vodka,2.75,cups
Spiked Rose Lemonade,fresh lemon juice,0.75,cup
Spiked Rose Lemonade,rose water,1.0,teaspoon
Spiked Rose Lemonade,Fresh or frozen red berries,N/A,N/A
Spiked Rose Lemonade,Small roses or rose petals,N/A,N/A
Froen Pineapple Mojito,fresh pineapple (about 4 pounds),1.0,
Froen Pineapple Mojito,white rum,1.0,cup
Froen Pineapple Mojito,fresh lime juice,0.25,cup
Froen Pineapple Mojito,"mint leaves, plus more for garnish",0.3333333333333333,cup
Froen Pineapple Mojito,(or more) sugar (optional),1.0,tablespoon
Froen Pineapple Mojito,"Cocktail umbrellas, sliced fruit, flowers, maraschino cherries, and/or any other tiki drink decoration (optional)",N/A,N/A
Ingredient Grilled Orange Margarita,"navel oranges, halved",4.0,
Ingredient Grilled Orange Margarita,Kosher salt (optional),N/A,N/A
Ingredient Grilled Orange Margarita,"lime, cut into 6 wheels",1.0,
Ingredient Grilled Orange Margarita,añejo tequila,2.75,cups
Ingredient Grilled Orange Margarita,fresh lime juice (from about 2 limes),6.0,tablespoons
Rosy Boa Cocktail,kosher salt,1.0,tablespoon
Rosy Boa Cocktail,paprika,2.0,teaspoons
Rosy Boa Cocktail,chipotle chile powder,1.0,teaspoon
Rosy Boa Cocktail,fresh grapefruit juice,2.0,cups
Rosy Boa Cocktail,tequila,5.5,cups
Rosy Boa Cocktail,pomegranate juice,0.5,cup
Rosy Boa Cocktail,fresh lime juice,0.3333333333333333,cup
Rosy Boa Cocktail,rose water,0.25,teaspoon
Rosy Boa Cocktail,(or more) ginger beer,5.5,cups
Rosy Boa Cocktail,Grapefruit wedges (for serving),N/A,N/A
Froen Booy Arnold Palmer,"black tea bags, preferably English breakfast",8.0,
Froen Booy Arnold Palmer,sugar,5.0,tablespoons
Froen Booy Arnold Palmer,"store-bought or homemade lemonade, divided",15.5,cups
Froen Booy Arnold Palmer,"vodka, divided",1.0,cup
Froen Booy Arnold Palmer,Lemon wheels (for garnish),N/A,N/A
Froen Booy Arnold Palmer,ice cube trays,4.0,
Blackberry Collins,),9.0,ounces fresh blackberries (about 1 1/2 cups
Blackberry Collins,sugar,1.0,cup
Blackberry Collins,chilled dry gin,2.0,cups
Blackberry Collins,fresh lemon juice,0.75,cup
Blackberry Collins,chilled club soda,2.0,cups
Blackberry Collins,Lemon wheels (for serving),N/A,N/A
Cowboy Shandy,Highwest Campfire whiskey or blended Scotch,2.75,ounces
Cowboy Shandy,fresh lemon juice,0.75,ounce
Cowboy Shandy,simple syrup,0.75,ounce
Cowboy Shandy,chilled lager,8.0,ounces
Cowboy Shandy,Lemon twist (for serving),N/A,N/A
Beers Knees,gin,2.75,ounces
Beers Knees,fresh lemon juice,0.75,ounce
Beers Knees,honey,5.5,teaspoons
Beers Knees,chilled Pilsner,8.0,ounces
Beers Knees,Dash of Angostura bitters (optional),N/A,N/A
Beers Knees,Lemon slice (for serving),N/A,N/A
ChileSalt Michelada,kosher salt,1.0,tablespoon
ChileSalt Michelada,Pinch of cayenne pepper,N/A,N/A
ChileSalt Michelada,fresh lime juice,0.75,ounce
ChileSalt Michelada,hot sauce (preferably Cholula),2.0,dashes
