,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Spiced Cherry Spritz,2 oz. amaro (such as Nonino),3 oz. Lambrusco,Cherry soda (for serving),1 maraschino cherry,,,,,,,,,,
Pimm's Spritz,2 oz. Pimm’s No. 1,3 oz. Prosecco,Splash of Dr. Brown's Cel-Ray soda,1 sprig celery leaves,,,,,,,,,,
Aperol Spritz,3 pitted green olives,2 oz. Aperol,3 oz. Prosecco,Splash of club soda,,,,,,,,,,
Campari Spritz,2 oz. Campari,3 oz. dry rosé,Splash of lemon soda,1 lemon wheel,,,,,,,,,,
Ginger Spritz,1 thin slice peeled ginger,2 oz. Lillet,3 oz. cava,Splash of ginger beer,,,,,,,,,,
White Negroni,1 1/2 ounces gin (preferably Plymouth),1 1/2 ounces Lillet Blanc,1/2 ounce Suze liqueur,Lemon twist (for serving),,,,,,,,,,
Apple Cider and Rum Punch,1 cup aged rum,1 cup sweet vermouth,1/2 cup fresh lemon juice,1/4 cup simple syrup,4 dashes Angostura bitters,"1/2 red apple, very thinly sliced, plus more for serving","3 (3x1"") strips orange zest, very thinly sliced, plus more for serving",1 (12-ounce) bottle dry hard apple cider,,,,,,
Aperol-Kombucha Cocktail,"2 cups gin, tequila, or mezcal",1 1/2 cups Aperol,"1 (16-ounce) bottle chilled kombucha, preferably ginger or lemon flavored",4 (12-ounce) cans chilled club soda,"2 tangerines or oranges, halved through stem ends, thinly sliced",,,,,,,,,
The Witching Hour,2 ounces pear juice,1 ounce dry gin,1/2 ounce Chartreuse liqueur,4 teaspoons fresh lemon juice,1 capsule (1/4 teaspoon) activated charcoal powder,1 dried sage leaf,A lighter,,,,,,,
Thanksgiving Sangria,3 cups pomegranate juice,"5 (3"") cinnamon sticks",1/2 teaspoon whole allspice,"1 (4"") piece peeled fresh ginger, thinly sliced (about 3/4 cup), divided",1 (750-ml) bottle red wine,"1 Bartlett pear, quartered lengthwise, thinly sliced crosswise",1/2 cup pomegranate seeds,1/2 cup spiced rum,1 (750-ml) bottle pear or apple sparkling cider,,,,,
Spiked Rose Lemonade,1 1/2 cups fresh or frozen red berries,3/4 cup sugar,1 1/4 cups vodka,3/4 cup fresh lemon juice,1 teaspoon rose water,Fresh or frozen red berries,Small roses or rose petals,,,,,,,
Frozen Pineapple Mojito,1 fresh pineapple (about 4 pounds),1 cup white rum,1/4 cup fresh lime juice,"1/3 cup mint leaves, plus more for garnish",1 tablespoon (or more) sugar (optional),"Cocktail umbrellas, sliced fruit, flowers, maraschino cherries, and/or any other tiki drink decoration (optional)",,,,,,,,
3-Ingredient Grilled Orange Margarita,"4 navel oranges, halved",Kosher salt (optional),"1 lime, cut into 6 wheels",1 1/4 cups añejo tequila,6 tablespoons fresh lime juice (from about 2 limes),,,,,,,,,
