	drink_name	ingredient	measurement
0	Cuban Mojito	sugar	2 teaspoons
1	Cuban Mojito	lime	1
2	Cuban Mojito	mint	4
3	Cuban Mojito	rum	1/2 cup
4	Cuban Mojito	club soda	2 cups
5	Cuban Mojito	ice	2 cups
6	Cuban Mojito	garnish	2
7	Mai Tai	spiced rum	1 (1.5 fluid ounce) jigger
8	Mai Tai	 lemonflavored rum	1/2 (1.5 fluid ounce) jigger
9	Mai Tai	grenadine	1 teaspoon
10	Mai Tai	pineapple	3 fluid ounces
11	Mai Tai	orange	2 fluid ounces
12	Mai Tai	 cubes	1 cup
13	Mojito Perfecto	mint leaves	6
14	Mojito Perfecto	sugar	4 teaspoons
15	Mojito Perfecto	lime	1
16	Mojito Perfecto	 lemonflavored rum	2 (1.5 fluid ounce) jiggers
17	Mojito Perfecto	 cubes	1 cup
18	Mojito Perfecto	water	1/2 cup
19	Caribbean Rum Punch	e juice	1 cup
20	Caribbean Rum Punch	maple syrup	2 cups
21	Caribbean Rum Punch	 amber rum	3 cups
22	Caribbean Rum Punch	orange	4 cups
23	Caribbean Rum Punch	butter	4 dashes
24	Caribbean Rum Punch	nutmeg	
25	Pina Colada III	milk	1 cup
26	Pina Colada III	pineapple	1 cup
27	Pina Colada III	rum	1/2 cup
28	Pina Colada III	sugar	4 tablespoons
29	Pina Colada III	 cubes	8
30	Dark n Stormy Cocktail	dark rum	2 fluid ounces
31	Dark n Stormy Cocktail	ginger	4 fluid ounces
32	Dark n Stormy Cocktail	ice	1/2 cup
33	Absolute Stress	vodka	1 fluid ounce
34	Absolute Stress	dark rum	1 fluid ounce
35	Absolute Stress	peach schnapps	1 fluid ounce
36	Absolute Stress	orange	1 fluid ounce
37	Absolute Stress	cranberry juice	1 fluid ounce
38	Shaggys Hana Bay Frootie Joy	rum	4 fluid ounces
39	Shaggys Hana Bay Frootie Joy	e juice	1 cup
40	Shaggys Hana Bay Frootie Joy	 cubes	4
41	Amaingly Good Eggnog	milk	4 cups
42	Amaingly Good Eggnog	 whole clove	5
43	Amaingly Good Eggnog	vanilla	1/2 teaspoon
44	Amaingly Good Eggnog	cinnamon	1 teaspoon
45	Amaingly Good Eggnog	egg	12
46	Amaingly Good Eggnog	sugar	1 1/2 cups
47	Amaingly Good Eggnog	light rum	2 1/2 cups
48	Amaingly Good Eggnog	light rum	4 cups
49	Amaingly Good Eggnog	vanilla	2 teaspoons
50	Amaingly Good Eggnog	 ground nutmeg	1/2 teaspoon
51	Classic Spanish Sangria	lemon	1
52	Classic Spanish Sangria	lime	1
53	Classic Spanish Sangria	orange	1
54	Classic Spanish Sangria	rum	1 1/2 cups
55	Classic Spanish Sangria	sugar	1/2 cup
56	Classic Spanish Sangria	wine	1 (750 milliliter) bottle
57	Classic Spanish Sangria	orange	1 cup
58	The Real Mojito	mint leaves	10
59	The Real Mojito	lime	1/2
60	The Real Mojito	sugar	2 tablespoons
61	The Real Mojito	 cubes	1 cup
62	The Real Mojito	rum	1 1/2 fluid ounces
63	The Real Mojito	club soda	1/2 cup
64	Hot Buttered Rum Batter	 pound butter	1
65	Hot Buttered Rum Batter	 pound lump sugar	1
66	Hot Buttered Rum Batter	 pound lump sugar	1
67	Hot Buttered Rum Batter	cream	1
68	Hot Buttered Rum Batter	cinnamon	1 tablespoon
69	Hot Buttered Rum Batter	 ground nutmeg	1 teaspoon
70	Coquito	egg	2
71	Coquito	 evaporated milk	1 (12 fluid ounce) can
72	Coquito	coconut rum	1 (14 ounce) can
73	Coquito	condensed milk	1 (14 ounce) can
74	Coquito	rum	1/2 cup
75	Coquito	water	1/2 cup
76	Coquito	cloves	1/4 teaspoon
