,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9,Unnamed: 0
0,2/3 fluid ounce lemon rum,2/3 fluid ounce Blue Curacao,,,,,,,,,,,6 fluid ounces champagne,,,,,"1 twist lemon zest, garnish",,,,,,,['Lady Joy']
1,1 (1.5 fluid ounce) jigger spiced rum,1/2 (1.5 fluid ounce) jigger coconut-flavored rum,,,,,,,,,,,1 teaspoon grenadine syrup,,,,,3 fluid ounces pineapple juice,2 fluid ounces orange juice,1 cup ice cubes,,,,,['Mai Tai']
2,6 mint leaves,4 teaspoons white sugar,,,,,,,,,,,"1 lime, cut into 6 wedges",,,,,2 (1.5 fluid ounce) jiggers lemon-flavored rum,"1 cup ice cubes, or as needed","1/2 cup carbonated water, or as needed",,,,,['Mojito Perfecto']
3,1 cup fresh lime juice,2 cups simple syrup,,,,,,,,,,,3 cups amber rum,,,,,4 cups orange juice,4 dashes bitters,freshly grated nutmeg,,,,,['Caribbean Rum Punch']
4,1 cup coconut milk,1 cup pineapple juice,,,,,,,,,,,1/2 cup rum,,,,,4 tablespoons white sugar,8 cubes ice,,,,,,['Pina Colada III']
5,1 (12 fluid ounce) can frozen limeade concentrate,12 fluid ounces rum,,,,,,,,,,,1 tray ice cubes,,,,,,,,,,,,['Frozen Lime Daiquiri']
6,2 fluid ounces dark rum,4 fluid ounces ginger beer,,,,,,,,,,,1/2 cup ice,,,,,,,,,,,,"[""Dark 'n' Stormy Cocktail""]"
7,1 fluid ounce vodka,1 fluid ounce dark rum,,,,,,,,,,,1 fluid ounce peach schnapps,,,,,1 fluid ounce orange juice,1 fluid ounce cranberry juice,,,,,,['Absolute Stress']
8,4 fluid ounces rum,1 cup fresh coconut-pineapple juice,,,,,,,,,,,4 cubes ice,,,,,,,,,,,,"[""Shaggy's Hana Bay Frootie Joy""]"
9,4 cups milk,5 whole cloves,,,,,,,,,,,1/2 teaspoon vanilla extract,,,,,1 teaspoon ground cinnamon,12 egg yolks,1 1/2 cups sugar,2 1/2 cups light rum,4 cups light cream,2 teaspoons vanilla extract,1/2 teaspoon ground nutmeg,['Amazingly Good Eggnog']
10,1 lemon,1 lime,,,,,,,,,,,1 orange,,,,,1 1/2 cups rum,1/2 cup white sugar,1 (750 milliliter) bottle dry red wine,1 cup orange juice,,,,['Classic Spanish Sangria']
11,10 fresh mint leaves,"1/2 lime, cut into 4 wedges",,,,,,,,,,,"2 tablespoons white sugar, or to taste",,,,,1 cup ice cubes,1 1/2 fluid ounces white rum,1/2 cup club soda,,,,,['The Real Mojito']
12,1 pound butter,1 pound brown sugar,,,,,,,,,,,1 pound confectioners' sugar,,,,,"1 quart vanilla ice cream, softened",1 tablespoon ground cinnamon,1 teaspoon ground nutmeg,,,,,['Hot Buttered Rum Batter']
13,"2 egg yolks, beaten",1 (12 fluid ounce) can evaporated milk,,,,,,,,,,,1 (14 ounce) can cream of coconut,,,,,1 (14 ounce) can sweetened condensed milk,1/2 cup white rum,1/2 cup water,1/4 teaspoon ground cloves,1/2 teaspoon ground cinnamon,1 teaspoon vanilla extract,,['Coquito']
14,1 fluid ounce coconut rum,3/4 fluid ounce vodka,,,,,,,,,,,1 fluid ounce pineapple juice,,,,,1 dash grenadine syrup,,,,,,,['Bikini Martini']
15,2 (12 fluid ounce) cans frozen limeade concentrate,2 (12 fluid ounce) cans frozen lemonade concentrate,,,,,,,,,,,2 (2 liter) bottles lemon-lime flavored carbonated beverage,,,,,1 (750 milliliter) bottle rum,2 quarts lime sherbet,,,,,,['Green Grog']
16,1/2 fluid ounce rum,1/2 fluid ounce coconut-flavored rum,,,,,,,,,,,1/2 fluid ounce grenadine syrup,,,,,1 fluid ounce orange juice,1 fluid ounce pineapple juice,1 cup crushed ice,,,,,['Bahama Mama']
17,6 cups ice,1/2 cup white sugar,,,,,,,,,,,4 ounces frozen strawberries,,,,,1/8 cup lime juice,1/2 cup lemon juice,3/4 cup rum,1/4 cup lemon-lime flavored carbonated beverage,,,,['Best Strawberry Daiquiri']
18,2 cups brown sugar,1/2 cup butter,,,,,,,,,,,1 pinch salt,,,,,2 quarts hot water,3 cinnamon sticks,6 whole cloves,2 cups rum,1 cup sweetened whipped cream,ground nutmeg to taste,,['Colonial Hot Buttered Rum']
19,1 quart water,3 orange spice tea bags,,,,,,,,,,,1/2 cup light brown sugar,,,,,2 cups apple cider,1 1/2 cups light rum,8 cinnamon sticks,3 teaspoons butter,,,,['Hot Spiked Cider']
20,4 egg yolks,1 (5 ounce) can sweetened condensed milk,,,,,,,,,,,1 tablespoon white sugar,,,,,1 teaspoon vanilla extract,4 1/2 cups milk,4 egg whites,1 fluid ounce rum,1/4 teaspoon ground nutmeg,,,['Christmas Creamy Eggnog']
21,2 cups light rum,1 cup dark rum,,,,,,,,,,,1 cup 151 proof rum,,,,,1 cup orange curacao (orange flavored liqueur),1 cup almond flavored syrup,1 cup simple syrup,"10 limes, juiced",1/2 gallon fresh orange juice,,,['The Perfect Mai Tai']
22,"1/2 gallon vanilla ice cream, softened",1 (20 ounce) can crushed pineapple,,,,,,,,,,,1 (8 ounce) can sweetened cream of coconut (such as Coco Lopez),,,,,1 (46 fluid ounce) can pineapple juice,2 cups light rum,1 (2 liter) bottle lemon-lime flavored carbonated beverage,,,,,['Pina Colada Punch']
23,1 cup uncooked long grain rice,2 quarts warm water,,,,,,,,,,,1/2 teaspoon ground cinnamon,,,,,1 1/4 cups milk,1 (14 ounce) can sweetened condensed milk,1 teaspoon vanilla extract,"1/4 cup rum, or to taste (optional)",16 cubes ice,,,['Rum-Spiked Horchata']
